순위,도서번호,도서명,링크,저자,출판사,출판일,판매가,정가,할인율,판매지수,내용,이미지
90,180513899,클로드 코드를 활용한 바이브 코딩 완벽 입문,https://www.yes24.com/product/goods/180513899,히라카와 토모히데 저/최용 역,위키북스,2026년 03월,"23,400","26,000",10%,"14,439",클로드 코드를 활용한 바이브 코딩 완벽 입문. 단 하루 만에 시스템을 구축하는 압도적 속도의 AI 주도 개발!애플리케이션의 규모와 복잡성이 커지는 과정 속에서 개발자는 늘 한계에 부딪힙니다. 하지만 클로드 코드(Claude Code)와 함께라면 ‘이런 기능이 ...,https://image.yes24.com/goods/180513899/xl
91,193691277,"누구나 성공하는 AI 비서, 오픈클로",https://www.yes24.com/product/goods/193691277,"박권, 임세범, 홍성용, 정용석, 김경상 저 외 2명
                                        
정보 더 보기/감추기



박권
임세범
홍성용
정용석
김경상
김준오
강현수",책밥,2026년 07월,"21,600","24,000",10%,600,"누구나 성공하는 AI 비서, 오픈클로. 왜 지금 ‘오픈클로(OpenClaw)’인가?답변만 받는 AI는 끝났다! 이제 당신의 업무를 직접 ‘완수’하는 에이전트의 시대가 왔다!!생성형 AI의 시대입니다. 누구나 ChatGPT나 Claude에게 질문을 던지고 훌륭한...",https://image.yes24.com/goods/193691277/xl
92,193681748,AI 영상 제작,https://www.yes24.com/product/goods/193681748,"문수민, 민지영, 신호진, 강경희, 앤미디어",길벗,2026년 07월,"24,300","27,000",10%,660,"AI 영상 제작. 진짜보다 더 진짜 같은 AI 영상부터싱크로율 100% 보컬 영상까지, 속지 않을 자신 있나요?100줄의 프롬프트보다 강력한 비주얼 프롬프팅으로 헐리우드급 영상을 만든다!복잡한 텍스트 프롬프트 엔지니어링의 시대는 저물고 있습니다. 이제는 한 장...",https://image.yes24.com/goods/193681748/xl
93,192962342,벡터 데이터베이스 설계와 구축,https://www.yes24.com/product/goods/192962342,송기상,아이리포,2026년 07월,"17,820","19,800",10%,636,"벡터 데이터베이스 설계와 구축. 러시아-우크라이나 전쟁에서 미국 방산 AI 기업 팔란티어(Palantir)는 엄청난 존재감을 드러내었다. 현재 전세계는 팔란티어와 같은 AI 소프트웨어 기업들이 국방 및 의료 분야에서 두각을 나타내고 있으며, 그 핵심에는 데이터...",https://image.yes24.com/goods/192962342/xl
94,192662784,생성형 AI 치트키 (한 권으로 끝내는 실전 매뉴얼),https://www.yes24.com/product/goods/192662784,장미희,박문각,2026년 07월,"20,900","22,000",5%,960,"생성형 AI 치트키 (한 권으로 끝내는 실전 매뉴얼). 『생성형 AI 치트키』를 통해 AI 시대를 뒤따라가는 패스트 팔로워(Fast Follower)가 아닌, 그 시대를 이끄는 퍼스트 무버(First Mover)로 성장할 수 있기를 바랍니다.본 도서는 다음과 ...",https://image.yes24.com/goods/192662784/xl
95,189629427,베테랑 AI 전문가가 만든 가장 쉬운 제미나이 활용! Gemini(제미나이)로 무엇이든 만들 수 있다 (AI 비서 영상 만들기 · 유튜브 숏폼),https://www.yes24.com/product/goods/189629427,"송상미, 윤소영, 강은정",광문각출판미디어,2026년 05월,"19,000","19,000",,"2,601",베테랑 AI 전문가가 만든 가장 쉬운 제미나이 활용! Gemini(제미나이)로 무엇이든 만들 수 있다 (AI 비서 영상 만들기 · 유튜브 숏폼). 강의 현장에서 가장 많이 듣는 말이 있다. “도대체 프롬프트를 어떻게 써야 하나요?” 분명 AI를 쓰고 있는데 결...,https://image.yes24.com/goods/189629427/xl
96,188882750,승인율 99.9% 움직이는 이모티콘 만들기 with 프로크리에이트,https://www.yes24.com/product/goods/188882750,씨엠제이(최민정),한빛미디어,2026년 05월,"16,200","18,000",10%,"2,982","승인율 99.9% 움직이는 이모티콘 만들기 with 프로크리에이트. 결국 살아남는 이모티콘은 `움직이는` 이모티콘,프로크리에이트로 제대로 만들 수 있어요!카카오 이모티콘 시장에서 가장 높은 수익을 내는 것은 단연 움직이는 이모티콘이다. 멈춰있는 이모티콘보다 눈...",https://image.yes24.com/goods/188882750/xl
97,183919456,모두의 노션 AI,https://www.yes24.com/product/goods/183919456,"임대균, 오가연",생능북스,2026년 04월,"15,120","16,800",10%,"2,835","모두의 노션 AI. 노션이 처음인가요? AI가 대신해주니까 더 쉽습니다!이 책은 노션을 처음 접하는 입문자를 위한 가장 친절한 안내서이다. 메모와 일정, 데이터베이스까지 한 번에 관리할 수 있는 올인원 도구 노션을 쉽고 재미있게 풀어냈다. 기본 구조부터 데이터...",https://image.yes24.com/goods/183919456/xl
98,183539313,AI 시대 서·논술형 평가 설계 바이블,https://www.yes24.com/product/goods/183539313,"조현준, 이근숙, 권좌실, 이슬기, 엄주연 저 외 1명
                                        
정보 더 보기/감추기



조현준
이근숙
권좌실
이슬기
엄주연
오덕수",에듀니티교육연구소(에듀니티),2026년 03월,"19,800","22,000",10%,"8,475","AI 시대 서·논술형 평가 설계 바이블. “서·논술형 평가는 정답을 찾는 기술이 아니라 아이들의 생각을 깨우는 질문입니다.”AI가 일상이 된 시대, 우리 아이들에게 필요한 역량은 단순 지식 습득이 아니라 비판적으로 사고하며 문제를 해결하는 힘이다. 다가오는 미...",https://image.yes24.com/goods/183539313/xl
99,174018513,AI 에이전트 엔지니어링,https://www.yes24.com/product/goods/174018513,마이클 알바다 저/강민혁 역,한빛미디어,2026년 01월,"28,800","32,000",10%,"11,907","AI 에이전트 엔지니어링. AI 에이전트 시스템 구축을 다룬 최고의 입문서!이 한 권이면 수백 편의 논문을 읽지 않아도 좋다생성형 AI 시대, 기업은 이제 단순 자동화를 넘어 도구·지식·메모리를 결합한 AI 에이전트로 더 복잡한 문제를 해결하고 있습니다. 코딩...",https://image.yes24.com/goods/174018513/xl
100,169665962,이게 되네? AI 쇼츠 만들기 미친 자동화 22제,https://www.yes24.com/product/goods/169665962,천은영,골든래빗,2026년 01월,"23,400","26,000",10%,"7,968",이게 되네? AI 쇼츠 만들기 미친 자동화 22제. 코딩 몰라도 OK! `딸깍` 한 번에 숏폼 콘텐츠 수집/제작/업로드 끝내는 미친 자동화 시스템 22제!AI가 쉴 틈 없이 돈 벌어준다! 1인 크리에이터를 위한 24시간 숏폼 수익 창출 가이드복붙 프롬프트 모음...,https://image.yes24.com/goods/169665962/xl
101,165239801,대체불가 AI 영상 제작 완전정복,https://www.yes24.com/product/goods/165239801,이용태,책바세,2025년 12월,"26,100","29,000",10%,"9,654",대체불가 AI 영상 제작 완전정복. 〈한 권으로 끝내는 생성형 AI 영상 제작의 모든 것〉〈AI 하나로 광고·영화·애니메이션·교육 영상부터 유튜브·틱톡 숏츠까지 제작하는 시대!〉`실무형 예제 중심으로 배우는 `진짜` AI 영상 제작`챗GPT/소라/피카/클링AI...,https://image.yes24.com/goods/165239801/xl
102,154925812,AI 엔지니어링,https://www.yes24.com/product/goods/154925812,칩 후옌 저/변성윤 역,한빛미디어,2025년 09월,"36,000","40,000",10%,"14,601","AI 엔지니어링. 최고의 AI 전문가 칩 후옌이 엔비디아, 스노클 AI, 스탠퍼드에서 쌓은 현장 경험과 노하우!모델 활용을 넘어서, 실전으로 통하는 AI 서비스 설계 가이드“프로덕트 레벨에 맞는 설계란 무엇일까요?”파운데이션 모델을 활용해 누구나 손쉽게 AI ...",https://image.yes24.com/goods/154925812/xl
103,147074475,업무와 일상을 정리하는 새로운 방법 노션,https://www.yes24.com/product/goods/147074475,전시진,제이펍,2025년 06월,"21,600","24,000",10%,"6,468","업무와 일상을 정리하는 새로운 방법 노션. 전 세계 1억 만 사용자와 함께하는 압도적 협업 도구 노션 No.1 노션 베스트셀러 최신 개정판으로 시작하자.한층 더 단단해진 구성, 80페이지 증보 개정! 노션의 본질을 짚어 주는 실전 가이드의 결정.대한민국에서 노...",https://image.yes24.com/goods/147074475/xl
104,146828240,핸즈온 LLM,https://www.yes24.com/product/goods/146828240,"제이 알아마르, 마르턴 흐루턴도르스트 저/박해선 역",한빛미디어,2025년 06월,"34,200","38,000",10%,"6,258","핸즈온 LLM. LLM, 눈으로 익히고 손으로 구현하라. 트랜스포머 구조부터 시맨틱 검색, 미세 튜닝, 프롬프트 엔지니어링까지 그림과 실전 코드로 만들면서 배우는 대규모 언어 모델의 모든 것『핸즈온 LLM』은 LLM을 쓰는 것을 넘어, 이해하고 구현하는 것까지...",https://image.yes24.com/goods/146828240/xl
105,144979816,질문으로 답을 찾는 인공지능 윤리 수업,https://www.yes24.com/product/goods/144979816,박형빈,한언,2025년 04월,"18,900","21,000",10%,"7,848","질문으로 답을 찾는 인공지능 윤리 수업. “왜 인공지능에서 ‘윤리’가 중요할까?”“인공지능이 내린 결정을 믿을 수 있을까?”“우리가 생각하는 인공지능의 모습은 어떤 것이어야 할까?”딥페이크에서 인공지능 로봇까지, 이야기 속 인물들과 함께훙미진진한 에피소드를 따...",https://image.yes24.com/goods/144979816/xl
106,142201171,마법 같은 영상 제작을 위한 스마트폰 촬영 및 편집 with 캡컷,https://www.yes24.com/product/goods/142201171,김지희,시프트,2025년 03월,"20,700","23,000",10%,"11,670","마법 같은 영상 제작을 위한 스마트폰 촬영 및 편집 with 캡컷. 영상 촬영부터 제작까지, 진짜 스마트폰 하나면 다 될까?아이폰, 갤럭시 등 스마트폰에 탑재된 카메라는 매년 업그레이드되어 전문가의 촬영 장비 못지않은 성능을 자랑한다. 이런 고성능 카메라를 유...",https://image.yes24.com/goods/142201171/xl
107,191479539,바로바로 챗GPT X 덕테이프 X 코덱스,https://www.yes24.com/product/goods/191479539,박현규,골든래빗,2026년 06월,"21,600","24,000",10%,"1,818","바로바로 챗GPT X 덕테이프 X 코덱스. ★ 여전히 전 세계에서 가장 많이 쓰는 AI, 챗GPT부터★ 복잡한 그래프와 한글 타이포까지 완벽하게 그려내는 AI, 덕테이프★ 코딩 한 줄 몰라도 자동화 앱, 웹사이트, 게임까지 뚝딱 만드는 AI, 코덱스★ 챗GPT...",https://image.yes24.com/goods/191479539/xl
108,193667871,하루 2시간 경력단절 엄마의 블로그로 시작하는 온라인 브랜딩,https://www.yes24.com/product/goods/193667871,그릿지선(이지선),호호북앤드림,2026년 07월,"17,820","19,800",10%,540,하루 2시간 경력단절 엄마의 블로그로 시작하는 온라인 브랜딩. 하루 2시간이면 충분합니다.지금 가진 경험과 일상을 기록하는 블로그 온라인 이력서로 1인기업이 시작됩니다. 블로그는 단순한 SNS가 아닌 경력단절 엄마의 온라인 이력서입니다. 블로그에 오늘의 경험을...,https://image.yes24.com/goods/193667871/xl
109,193184189,색보정을 시작하는 초보 컬러리스트 유튜버를 위한 다빈치리졸브 색보정,https://www.yes24.com/product/goods/193184189,전수연,디지털북스,2026년 07월,"19,800","22,000",10%,810,"색보정을 시작하는 초보 컬러리스트 유튜버를 위한 다빈치리졸브 색보정. 색보정을 시작하는 초보 컬러리스트 유튜버를 위한다빈치리졸브 색보정영상의 분위기와 감정을 완성하는 마지막 단계는 컬러 그레이딩(Color Grading)입니다. 같은 장면이라도 색과 명암, 채...",https://image.yes24.com/goods/193184189/xl
110,193157707,ComfyUI 독학노트,https://www.yes24.com/product/goods/193157707,"김한호, 김홍일, 권구영, 윤택한, 최태온 저 외 2명
                                        
정보 더 보기/감추기



김한호
김홍일
권구영
윤택한
최태온
김나래
안현준",성안당,2026년 07월,"34,200","38,000",10%,504,ComfyUI 독학노트. 이미지부터 영상·3D까지디자이너의 AI 창작 워크플로우를 완성하는 ComfyUI 실전 가이드ComfyUI 독학노트이미지를 정교하게 조정하며 여러 요소와 조합 가능한노드 기반 AI 이미지 생성의 혁신적인 오픈소스 도구 ComfyUI 실전...,https://image.yes24.com/goods/193157707/xl
111,193084292,요즘 바이브 코딩 수익화 앱 만들기 with 커서 AI 마켓 등록·인앱 결제·구독 상품,https://www.yes24.com/product/goods/193084292,시몬,골든래빗,2026년 07월,"30,600","34,000",10%,690,"요즘 바이브 코딩 수익화 앱 만들기 with 커서 AI 마켓 등록·인앱 결제·구독 상품. ★ 화면 하나 만들고 끝? 진짜 난관은 그다음부터입니다★ 완성된 앱에서 수익으로 이어지는 서비스로 업그레이드합니다!★ 로그인 기능, 스토어 배포, 광고, 결제까지 앱 서비...",https://image.yes24.com/goods/193084292/xl
112,190210781,이게 되네? 클로드 MCP 커넥터 미친 활용법 31제,https://www.yes24.com/product/goods/190210781,"박현규, 김성경",골든래빗,2026년 06월,"21,600","24,000",10%,"2,196","이게 되네? 클로드 MCP 커넥터 미친 활용법 31제. ★ 진정한 ‘AI 일잘러’로 거듭나기 위한 MCP 1위 도서가 개정판으로 돌아왔다!★ 챗봇을 넘어, AI가 앱과 파일을 직접 다루는 클로드 MCP 커넥터 실전 가이드★ 노션, 옵시디언, 엑셀부터 공공데이터...",https://image.yes24.com/goods/190210781/xl
113,188859248,알고 나면 무조건 써먹는 실무 엑셀,https://www.yes24.com/product/goods/188859248,정훈희,한빛미디어,2026년 05월,"20,700","23,000",10%,"2,262","알고 나면 무조건 써먹는 실무 엑셀. 경력 20년 차 전문 엑셀 강사와 함께! 기본 기능 학습부터 실무 문서를 만들며 배우는 왕초보 탈출 엑셀 학습서!엑셀, 배우기만 하고 실무에서 써먹지 못한다면 무슨 소용일까? 개별 기능, 함수만 따로따로 배워서는 정작 회사...",https://image.yes24.com/goods/188859248/xl
114,187039263,퇴근이 빨라지는 제미나이 & 노트북LM 업무 자동화 정석 엑셀 X AI,https://www.yes24.com/product/goods/187039263,권현욱,디지털북스,2026년 04월,"19,800","22,000",10%,"2,868","퇴근이 빨라지는 제미나이 & 노트북LM 업무 자동화 정석 엑셀 X AI. 퇴근이 빨라지는제미나이 & 노트북LM 업무자동화 정석 : 엑셀 X AI기획안 작성부터 모바일 업무 환경까지 완벽 가이드다. 비즈니스 메일, 프로젝트 기획서, 데이터 시각화는 물론 스마트폰...",https://image.yes24.com/goods/187039263/xl
115,186833195,자연은 왜 이토록 단순하면서도 아름다운가,https://www.yes24.com/product/goods/186833195,"로버트 칸, 크리스 퀴그 저/박병철 역",알에이치코리아(RHK),2026년 04월,"31,500","35,000",10%,"5,370","자연은 왜 이토록 단순하면서도 아름다운가. “우주의 비밀을 밝혀온 과정은 단순하지도, 우아하지도 않지만 단숨에 마음을 사로잡는다.” 스티븐 추, 노벨 물리학상 수상자 * 노벨 물리학상  스티븐 추, 솔 펄머터 추천* 김영기 시카고대 석좌교수前미국 물리학회 회장...",https://image.yes24.com/goods/186833195/xl
116,179619230,맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2026,https://www.yes24.com/product/goods/179619230,"심수진, 윤성우, 이수정",한빛미디어,2026년 03월,"24,300","27,000",10%,"3,669","맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2026. 프리미어 프로&애프터 이펙트를 제대로 배우는 가장 완벽한 레시피!한 권으로, 한번에! 쉽고 빠르게 익혀 바로 써먹는 그래픽 입문서!영상 편집과 그래픽 디자인에 꼭 필요한 프리미어 프로와 애프터 이펙트를...",https://image.yes24.com/goods/179619230/xl
117,175525819,AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법,https://www.yes24.com/product/goods/175525819,Dave Lee,길벗,2026년 02월,"28,800","32,000",10%,"7,374","AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법. AI와 함께 일하는 법을 배우다클로드 코드·코덱스 CLI·제미나이 CLI를 실무에서 활용하는 방법AI 코딩 도구를 처음 접하는 사람에게 가장 어려운 점은 `무엇부터 시작해야 하는지`, 그리...",https://image.yes24.com/goods/175525819/xl
118,167719977,"서논술형 평가, AI로 깊이를 더하다",https://www.yes24.com/product/goods/167719977,"지미정, 장희영, 권의선, 이진원, 김수경 저 외 1명
                                        
정보 더 보기/감추기



지미정
장희영
권의선
이진원
김수경
박범진",앤써북,2025년 12월,"22,950","25,500",10%,"6,618","서논술형 평가, AI로 깊이를 더하다. 『서논술형 평가, AI로 깊이를 더하다』는 AI 시대 `생각하는 힘`을 기르는 교실을 만드는 가장 실천적인 안내서다. 서논술형 평가의 개념부터 설계·채점·피드백까지, 초·중·고 교사 6명의 현장 경험과 연구를 한 권에 담...",https://image.yes24.com/goods/167719977/xl
119,154182485,처음이지만 프로처럼 쓰는 노션 Notion,https://www.yes24.com/product/goods/154182485,박한용,디지털북스,2025년 09월,"22,500","25,000",10%,"7,236","처음이지만 프로처럼 쓰는 노션 Notion. 처음이지만 프로처럼 쓸 수 있는 노션 활용서핵심 기능부터 실습 템플릿, 최신 AI 기능까지 한 권으로 정리!노션은 메모, 프로젝트 관리, 협업까지 아우르는 최고의 생산성 도구입니다. 하지만 많은 사용자가 빈 페이지 ...",https://image.yes24.com/goods/154182485/xl
120,151066074,회사에서 바로 통하는 실무 엑셀 파워포인트 워드&한글,https://www.yes24.com/product/goods/151066074,"전미진, 이화진, 신면철",한빛미디어,2025년 08월,"24,300","27,000",10%,"14,736","회사에서 바로 통하는 실무 엑셀 파워포인트 워드&한글. 전면 개정판으로 돌아온 『회사에서 바로 통하는 실무 엑셀 파워포인트 워드&한글(전면 개정판)』!더욱 직관적이고 학습하기 좋은 구성으로 엑셀, 파워포인트, 워드, 한글을 쉽게 배운다!이번 개정판은 더 빠르고...",https://image.yes24.com/goods/151066074/xl
121,143539772,한 권으로 끝내는 아두이노 입문+실전 (종합편),https://www.yes24.com/product/goods/143539772,"서민우, 코코랩스",앤써북,2025년 03월,"19,800","22,000",10%,"2,946",한 권으로 끝내는 아두이노 입문+실전 (종합편). 『한 권으로 끝내는 아두이노 입문+실전 (종합편)』은 약 380쪽의 분량에 쉽고 단계적으로 130여개의 단계별 초수/중수/고수/실전 프로젝트 만들기까지 시작은 쉽게 그러나 끝은 프로그래밍 실력을 갖출 수 있도록...,https://image.yes24.com/goods/143539772/xl
122,140835200,이게 되네? 챗GPT 미친 활용법 71제,https://www.yes24.com/product/goods/140835200,오힘찬,골든래빗,2025년 01월,"21,600","24,000",10%,"24,804","이게 되네? 챗GPT 미친 활용법 71제. 챗GPT가 2024년 12월에 12일 동안 12가지 신기능으로 싹 바뀌었다! 초강력 모델 o1 활용, 캔버스 글쓰기, Sora 영상 제작, 프로젝트 등 20가지 예제 전격 추가!25주 연속 베스트셀러가 더 강력해져 돌...",https://image.yes24.com/goods/140835200/xl
123,125830483,혼자 공부하는 네트워크,https://www.yes24.com/product/goods/125830483,강민철,한빛미디어,2024년 04월,"25,200","28,000",10%,"8,682","혼자 공부하는 네트워크. 혼자 해도 충분하다!1:1 과외하듯 배우는 네트워크 자습서『혼자 공부하는 네트워크』는 개발자의 필수 지식인 네트워크를 기본부터 제대로 학습할 수 있도록 돕는 입문서이다. 다수의 네트워크 전공 서적들을 면밀히 분석하고, 방대한 컴퓨터 네...",https://image.yes24.com/goods/125830483/xl
124,122966082,F1 레이스카의 공기역학,https://www.yes24.com/product/goods/122966082,윤재수 저/김효원 감수,골든래빗,2023년 11월,"45,000","50,000",10%,"2,748","F1 레이스카의 공기역학. F1의 핵심 키워드, 공기역학의 기초 다지기F1에서 공기역학의 비중은 날로 커지고 있고, 공기역학적 성능이 F1 챔피언십의 성적을 좌우합니다. 그러나 공기역학은 보통 사람에게 너무 어렵기만 합니다. F1에 대해 막 알아가기 시작한 많...",https://image.yes24.com/goods/122966082/xl
125,113485068,후니의 쉽게 쓴 시스코 네트워킹,https://www.yes24.com/product/goods/113485068,진강훈 등,성안당,2024년 08월,"38,700","43,000",10%,"4,914",후니의 쉽게 쓴 시스코 네트워킹. 네트워크를 이렇게 쉽게 설명한 책은 없다!20만 독자가 선택한 유일무이한 네트워크 최고의 입문서!2002년 출간 이후 16년 동안 네트워크 분야 베스트셀러 1위를 지키고 있는 『후니의 쉽게 쓴 시스코 네트워킹』의 개정판(4th...,https://image.yes24.com/goods/113485068/xl
126,104661489,혼자 공부하는 SQL,https://www.yes24.com/product/goods/104661489,우재남,한빛미디어,2021년 11월,"21,600","24,000",10%,"5,094","혼자 공부하는 SQL. 혼자 해도 충분하다! 1:1 과외하듯 배우는 데이터베이스 자습서(MySQL Community 8.0 지원)이 책은 아무런 사전 지식 없는 입문자가 ‘꼭 필요한 내용을 제대로’ 학습할 수 있도록 구성했다. ‘무엇을’, ‘어떻게’ 학습해야 ...",https://image.yes24.com/goods/104661489/xl
127,192469511,주인의 눈,https://www.yes24.com/product/goods/192469511,맛떼오 파스퀴넬리 저/이광석 해제/김상민 역,동녘,2026년 06월,"27,000","30,000",10%,"1,182","주인의 눈. 인공지능은 무엇으로 만들어졌으며, 그 주인은 누가 되어야 하는가?`AI가 노동자를 대체하는` 지금 이 시대에 필요한 독창적 사유의 등장인공지능 기술이 날로 확장하는 오늘날, AI가 우리의 일자리를 빼앗을 것이라는 전망은 점차 현실이 되고 있다. 전...",https://image.yes24.com/goods/192469511/xl
128,192583611,AI 자율학습 AI 에이전트 개발 입문,https://www.yes24.com/product/goods/192583611,박경민,길벗,2026년 07월,"28,800","32,000",10%,"1,194","AI 자율학습 AI 에이전트 개발 입문. LLM부터 RAG, Tool Use, Function Calling, AI 에이전트까지AI 에이전트 개발에 필요한 핵심 기술과 구현 과정을 한 권으로 익힌다!생성형 AI의 발전으로 AI 에이전트는 새로운 소프트웨어 개발...",https://image.yes24.com/goods/192583611/xl
129,191507359,AI 에이전트 실행 세계 2 : 설계편,https://www.yes24.com/product/goods/191507359,조쉬,로드북,2026년 06월,"31,500","35,000",10%,"2,010","AI 에이전트 실행 세계 2 : 설계편. 설계되지 않은 도메인은 에이전트가 집행할 수 없다.감(感)으로 프롬프트를 짜는 것과, 설계도로 도메인을 명세화하는 것은 전혀 다른 일이다. 1권(원리편)에서 `왜`를 이해했다면, 이 책에서 `어떻게`를 완성한다. 저자가...",https://image.yes24.com/goods/191507359/xl
130,192630668,혼자 해도 프로 선생님처럼 잘 설계하는 AI 자동화 교실,https://www.yes24.com/product/goods/192630668,"박창민, 이승우, 이슬민, 김동환, 김민 저 외 3명
                                        
정보 더 보기/감추기



박창민
이승우
이슬민
김동환
김민
김태현
이운희
이현석",한빛미디어,2026년 07월,"20,700","23,000",10%,696,"혼자 해도 프로 선생님처럼 잘 설계하는 AI 자동화 교실. 누구나 프로처럼 우리 반 맞춤 수업을 설계하는 AI 자동화 교실캔바 AI부터 노트북LM, 패들렛, 멘티미터, 제미나이, 젬스, 구글 AI 스튜디오, 바이브 코딩, 앱스 스크립트, API까지우리 반에 꼭...",https://image.yes24.com/goods/192630668/xl
131,187703288,만들면서 배우는 AI 에이전트 개발 입문+실전,https://www.yes24.com/product/goods/187703288,박나연(공원나연),한빛미디어,2026년 05월,"33,300","37,000",10%,"4,440","만들면서 배우는 AI 에이전트 개발 입문+실전. 만들면서 배우면, AI 에이전트 구현이 쉬워진다!단계별 싱글·멀티 에이전트 설계부터 RAG·MCP·A2A 구현을 하나의 흐름으로25가지 에이전트로 이론부터 실전 설계 역량까지 완성하는 “AI 에이전트 교과서”*저...",https://image.yes24.com/goods/187703288/xl
132,187024885,요즘 바이브 코딩 커서 X 클로드 코드 실전 외주 돈 벌기,https://www.yes24.com/product/goods/187024885,불혹코딩,골든래빗,2026년 05월,"23,400","26,000",10%,"3,846","요즘 바이브 코딩 커서 X 클로드 코드 실전 외주 돈 벌기. * 코딩의 ‘코’자도 모르던 40대 직장인, 퇴근 후 바이브 코딩으로 어떻게 1년 만에 5천만 원을 벌었을까?* 5만원짜리 외주로 시작해서 고단가 프로젝트까지, 외주 개발의 모든 것을 한 권에 담았다...",https://image.yes24.com/goods/187024885/xl
133,181178233,AI 국부론,https://www.yes24.com/product/goods/181178233,이승현,골든래빗,2026년 03월,"25,200","28,000",10%,"3,588","AI 국부론. * 당신이 챗GPT에 열광하는 사이, 대한민국은 ‘디지털 식민지’로 전락하고 있다!* 전자정부라는 낡은 마차에서 내려, 지금 당장 ‘AI 네이티브’ 로켓에 탑승하라!* 미·중 패권 전쟁의 파고 속, 대한민국이 ‘AI G3’로 도약할 마지막 골든타...",https://image.yes24.com/goods/181178233/xl
134,174197933,무조건 도움되는 유아교사 업무경감,https://www.yes24.com/product/goods/174197933,"김나영, 남동윤, 이영은, 장효정, 최지이 저 외 1명
                                        
정보 더 보기/감추기



김나영
남동윤
이영은
장효정
최지이
황경미",교육과실천,2026년 01월,"22,950","25,500",10%,"2,979","무조건 도움되는 유아교사 업무경감. 이 책만 차근차근 따라오면업무과다 N0! 업무경감 YES!디지털 도구들을 단순히 어떻게 사용하는지 설명하는 것에 그치지 않고, 교사의 일상 속에서 업무경감으로 이어지는 구체적인 사례를 공개하는 단 한 권의 책!“하루에도 수없...",https://image.yes24.com/goods/174197933/xl
135,172059324,AI 로봇 구조 교과서,https://www.yes24.com/product/goods/172059324,유승남,보누스,2026년 01월,"20,700","23,000",10%,"2,088","AI 로봇 구조 교과서. 현직 로봇 연구자가 인공지능 로봇의 구조와 원리를 상세히 설명한 책이다. 엔비디아, 테슬라, 구글 등 글로벌 빅테크 기업들이 주도하는 AI 로봇 산업의 최신 기술 트렌드는 물론이고 로봇이 세상을 감각하고 이해하며 행동하는 원리를 간명하...",https://image.yes24.com/goods/172059324/xl
136,167452848,나는 오렌지3로 인공지능한다,https://www.yes24.com/product/goods/167452848,"장병철, 서미란, 박지훈, 정종호",씨마스,2025년 12월,"20,700","23,000",10%,"5,562","나는 오렌지3로 인공지능한다. 학생부터 교사, 실무에 필요한 직장인까지인공지능·데이터 분석 역량 강화를 위한 최고의 Orange3 실전 활용서!클릭 몇 번으로 데이터 전처리부터 시각화, 분석까지 척척 해내는 강력한 데이터 마이닝 도구, Orange3! 데이터 ...",https://image.yes24.com/goods/167452848/xl
137,154099735,밑바닥부터 만들면서 배우는 LLM,https://www.yes24.com/product/goods/154099735,세바스찬 라시카 저/박해선 역,길벗,2025년 09월,"36,000","40,000",10%,"11,910","밑바닥부터 만들면서 배우는 LLM. 한 줄 한 줄 코드를 따라가다 보면, 나만의 GPT가 완성된다!GPT를 밑바닥부터 구현하며 LLM의 원리를 손끝으로 체득하는 실전 가이드어려운 개념은 그림으로 풀고, LLM은 직접 만들면서 배운다. 이 책은 대규모 언어 모델...",https://image.yes24.com/goods/154099735/xl
138,152079426,바로 배워서 바로 써먹는 바이브 코딩,https://www.yes24.com/product/goods/152079426,"박찬, 김병석, 전수연, 김지용, 구현희 저 외 3명
                                        
정보 더 보기/감추기



박찬
김병석
전수연
김지용
구현희
전채원
홍찬우
이상선",다빈치books,2025년 09월,"19,800","22,000",10%,"21,051",바로 배워서 바로 써먹는 바이브 코딩. 누구나 아이디어만 있다면 누구나 멋진 웹 앱을 만들 수 있다!바이브 코딩(Vibe Coding)은 코딩을 전혀 모르는 사람도 생성형 AI에 프롬프트(명령어)를 입력하여 코드를 작성하고 서비스 샘플을 만들어주는 도구이다. ...,https://image.yes24.com/goods/152079426/xl
139,150009333,보고서 기획서 고민 없이 시작해서 30분 만에 끝내주는 프롬프트 책,https://www.yes24.com/product/goods/150009333,박경수,한빛비즈,2025년 08월,"19,800","22,000",10%,"3,888","보고서 기획서 고민 없이 시작해서 30분 만에 끝내주는 프롬프트 책. 업무에 바로 써먹는 생성형 AI 여기 다 있다!끝내주는 보고서 기획서 작성 with 생성형 AI단계별 프롬프트 가이드챗GPT를 비롯한 수많은 생성형 AI가 일상 속으로 깊숙이 들어온 지금, ...",https://image.yes24.com/goods/150009333/xl
140,129392318,디자인 구구단,https://www.yes24.com/product/goods/129392318,에이핫,길벗,2024년 08월,"18,000","20,000",10%,"5,952","디자인 구구단. ‘디자인을 통해 새로운 것을 탐색하고 싶은 사람들 모여라.’디자인의 중요성을 느끼지만 어디서부터 시작해야 할지 막막하신가요? 디자이너가 아닌 사람이 디자인의 세계로 첫발을 내딛는 일은 쉽지 않다. 포토샵, 일러스트레이터, 피그마 등 툴에 대한 ...",https://image.yes24.com/goods/129392318/xl
